path,change_status,category,dependency_group,merge_action,numerical_behavior,dependencies,tests,fresh_pde_required,migration_order,reason
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/README.md,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/analyze_bounded_single_seed_top_air_hp_selection.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/analyze_hp_factorial_bridge.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/analyze_outer_top_hp_selection.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/check_local_h_attempt2_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/check_local_h_production_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/config.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/expected.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_bounded_single_seed_top_air_hp_preflight.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_legacy_seeded_plans.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_local_h_attempt1_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_local_h_attempt2_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_local_h_production_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_physics_guard_recovery.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_reference_authority.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/generate_selective_face_selection_compact.py,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/bounded_single_root_top_air_lane_closure_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/bounded_single_seed_top_air_hp_preflight_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/bounded_single_seed_top_air_hp_selection_v2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi1_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi2_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi8_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi_identity_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/combined_hp_interior_mpi_identity_v2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/compact_authority_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_grating_top_selective_p6_faces_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_left_grating_top_closure_p5fine_compact_checker_evidence_failure_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_left_grating_top_closure_p5fine_mpi8_candidate_check_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_left_grating_top_closure_p5fine_mpi8_controlled_negative_compact_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_left_grating_top_closure_p5fine_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_outer_top_periodic_p5fine_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_symmetric_top_air_remote_p5_interior_mpi8_candidate_check_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_symmetric_top_air_remote_p5_interior_mpi8_candidate_check_v2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_symmetric_top_air_remote_p5_interior_mpi8_residual_controlled_negative_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_symmetric_top_air_remote_p5_interior_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_local_h_field_probe_evidence_failure_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_local_h_mpi8_controlled_negative_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_local_h_nested_p_mpi8_controlled_negative_v2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_local_h_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_nested_p_dwr_mpi8_checker_v2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_nested_p_pair_authority_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_remote_p5_interior_bridge_mpi8_candidate_check_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_remote_p5_interior_bridge_plan_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_selective_p6_face_component_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/h15_top_air_selective_p6_face_component_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/hp_factorial_bridge_attribution_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/hp_factorial_bridge_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/hp_factorial_bridge_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/hp_factorial_bridge_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/hp_factorial_bridge_mpi_identity_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/left_grating_top_closure_p5fine_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/left_grating_top_closure_p5fine_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/left_grating_top_closure_p5fine_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/left_grating_top_closure_p5fine_mpi_identity_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/legacy_multigoal_seed_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/legacy_seeded_plan_authority_mpi1_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/legacy_seeded_plan_authority_mpi2_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/legacy_seeded_plan_authority_mpi8_v1.json,A,research_only,candidate_specific_research_history,exclude_keep_source_branch,candidate-specific selector/plan; not production,Task035d historical branch only,historical branch receipts,not applicable,90,Retain for history/reproduction; Review forbids production promotion
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt1_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt1_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt1_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt1_mpi_identity_v1.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi1_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi1_v3.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi2_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi2_v3.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi8_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi8_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi8_v3.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi_identity_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi_identity_v2.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi_identity_v2_checker_fix1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_attempt2_mpi_identity_v3.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi1_v3_integration.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi1_v3_owner_gate_fix1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi2_v3_integration_controlled_failure.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi2_v3_owner_gate_fix1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi8_v3_owner_gate_fix1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi_identity_v3_owner_gate_fix1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/local_h_production_mpi_identity_v3_owner_gate_fix2.json,A,compact_evidence_docs,compact_evidence_and_docs,include,documentation/hash-bound evidence only,checker contracts; registry backfill first,"documentation, registry, JSON, Case097 compact contracts",no,80,"Review-approved compact evidence, controlled negatives, and handoff"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/mixed_p5_p6_h100_component_mpi1_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
benchmarks/cases/097_goal_oriented_exact_sequence_hp_adaptivity/records/mixed_p5_p6_h100_component_mpi2_v1.json,A,do_not_merge,superseded_or_redundant_record,exclude_keep_source_branch,no production migration,compact aggregate retained instead,not migrated,not applicable,99,"Per-rank, superseded, duplicate, or noncompact evidence"
