path,size_bytes,content_identity,decision,reason
docs/task032_hybrid_fem_modal_direct_baseline/outcomes/task032_0p7nm_projection.json,3488,analytical_resource_projection,retain,deterministic non PDE review closeout record
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h5_m160.json,284619,lightweight_exact_order_and_gate_record,retain,largest file is about 0.27 MiB and exact complex order amplitudes support the M funnel
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h3_m160.json,276941,lightweight_exact_order_and_gate_record,retain,no full field eigenvector matrix or factor payload
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h5_m120.json,238439,lightweight_exact_order_and_gate_record,retain,required denominator for M120 to M160 convergence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h3_m120.json,235475,lightweight_exact_order_and_gate_record,retain,required denominator for M120 to M160 convergence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h3_funnel.json,48846,compact_funnel_summary,retain,formal truncation evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_h5_funnel.json,48834,compact_funnel_summary,retain,formal truncation evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/qep_phase2.json,46466,compact_qep_record,retain,beta convergence and provenance
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/modes_phase3.json,32818,compact_mode_contract,retain,classification biorthogonality and tracking
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/hybrid_phase6_m6.json,24573,historical_clean_integration_record,retain,negative and milestone provenance
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/parameter_smoke.json,23979,compact_parameter_smoke,retain,30 point API evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h3_schur_minimal.json,20648,compact_memory_record,retain,best h3 lifecycle evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h5_schur_minimal.json,20584,compact_memory_record,retain,h5 lifecycle evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h3_schur_fast.json,20575,compact_memory_record,retain,negative fast path comparison
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h5_schur_fast.json,20109,compact_memory_record,retain,fast path comparison
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h3_augmented.json,15450,compact_memory_record,retain,h3 denominator
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/memory_h5_augmented.json,14966,compact_memory_record,retain,h5 denominator
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/propagation_phase4.json,11004,compact_propagation_contract,retain,composition passivity and reciprocity
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/trace_phase5.json,6431,compact_trace_contract,retain,matched interface evidence
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/h2_prediction.json,5083,compact_not_run_gate,retain,fail closed h2 decision
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/full3d_h3_reference.json,3707,compact_full3d_reference,retain,canonical h3 denominator
benchmarks/cases/080_hybrid_fem_modal_direct_baseline/records/full3d_h5_reference.json,3420,compact_full3d_reference,retain,canonical h5 denominator
