"path","change_status","category","dependency_group","default_behavior_change","tests","numerical_evidence","migration_order","reason"
"src/constraints/cross_section_floquet.py","M","production_core","G1_discrete_axial_and_floquet","none; p1-p6 support is capability extension","test_48; test_179; MPI2/MPI8 focused","p6/h10 six-path source 244b62e1; 12/12+12/12","1","exact entity-DoF and orientation-aware Floquet constraints"
"src/coupling/hybrid_internal_modes.py","M","production_core","G1_discrete_axial_and_floquet","none; discrete symbols remain opt-in","test_38; test_34; test_181","p2/h5 repaired closure and p6/h10 six-path source 244b62e1","1","connect scalar-CG propagation and traction to Hybrid modes"
"src/modes/stable_propagation.py","M","production_core","G1_discrete_axial_and_floquet","none; continuous_beta remains default","test_34; test_38","p2/h5 phase-only negative plus phase+traction positive","1","stable scalar-CG Bloch symbol with fail-closed uniform-chain checks"
"src/postprocessing/hybrid_field_reconstruction.py","M","production_core","G1_discrete_axial_and_floquet","none","test_40; test_182","p6/h10 interface and selected-plane fields pass","1","use the selected discrete propagation in reconstructed fields"
"src/solvers/hcurl_assembly_time_condensation.py","M","production_core","G2_static_hybrid","none; standard_full remains default","test_115; test_179","Full3D and Hybrid static six-path source 244b62e1","1","reusable exact cell-interior condensation primitives"
"src/solvers/hybrid_fem_modal_augmented_direct.py","M","production_core","G2_static_hybrid","none; static path remains explicit opt-in","test_179; test_38","static equivalence and full residual gates pass","1","accept condensed local systems without eliminating modal or DtN unknowns"
"src/solvers/hybrid_fem_modal_schur_direct.py","M","production_core","G2_static_hybrid","none; standard solver path unchanged","test_179; test_182","Hybrid M120/M160 static authority passes","1","static local Schur integration and resource-minimal direct path"
"src/solvers/hybrid_local_dtn.py","M","production_core","G2_static_hybrid","none","test_179; test_115","external DtN and 12-channel gates pass","1","preserve auxiliary DtN unknowns under local static condensation"
"src/solvers/hybrid_local_static_condensation.py","A","production_core","G2_static_hybrid","new explicit opt-in capability only","test_179; test_115","Hybrid static M120/M160 six-path authority","1","assemble local trace Schur systems with physical Floquet elimination"
"src/solvers/hybrid_static_field_recovery.py","A","production_core","G2_static_hybrid","none","test_179; test_40","full-operator and eliminated-interior residual pass","1","recover complete local fields from condensed trace solutions"
"src/test/test_115_task035b_assembly_time_condensation.py","M","production_core","G3_core_tests","none","self; focused suite","p6 static-condensation authority","1","regression coverage for exact assembly-time condensation"
"src/test/test_179_task035b_hybrid_static_condensation.py","A","production_core","G3_core_tests","none","self; serial/MPI2/MPI8 focused","p2 and p6 static Hybrid equivalence","1","component coverage for trace audit and Hybrid static recovery"
"src/test/test_34_task032_stable_propagation.py","M","production_core","G3_core_tests","none","self","p2 phase discriminator","1","uniform scalar-CG propagation and fail-closed unit tests"
"src/test/test_38_task032_hybrid_internal_modes.py","M","production_core","G3_core_tests","none","self","p2 phase+traction closure","1","internal-mode integration and traction-symbol tests"
"src/test/test_40_task032_hybrid_field_reconstruction.py","M","production_core","G3_core_tests","none","self","p6 selected-field closure","1","discrete-propagation field reconstruction coverage"
"src/test/test_48_task033_cross_section_exact_constraints.py","M","production_core","G3_core_tests","none","self; MPI2/MPI8","p1-p6 Floquet qualification","1","entity orientation and cross-rank Floquet regression"
"benchmarks/cases/096_hybrid_channel_memory_closure/README.md","A","reusable_benchmark","G4_case096","none","documentation contract; Case096 hermetic","compact records and raw-hash generator","2","user-facing reproduction and scope entry"
"benchmarks/cases/096_hybrid_channel_memory_closure/config.json","A","reusable_benchmark","G4_case096","none","JSON parse; Case096 hermetic","Case096 frozen configuration","2","machine-readable benchmark configuration"
"benchmarks/cases/096_hybrid_channel_memory_closure/generate_compact_records.py","A","reusable_benchmark","G4_case096","none","generator --check; Case096 hermetic","SHA-bound p2/p6/rank/PSS-USS regeneration","2","independently rebuild compact evidence from ignored raw artifacts"
"benchmarks/cases/096_hybrid_channel_memory_closure/test_command.txt","A","reusable_benchmark","G4_case096","none","command contract","not applicable","2","qualified reproduction command index"
"benchmarks/run_task032_phase6_augmented.py","M","reusable_benchmark","G5_runner_watchdog_checker","none; continuous symbols and standard_full remain defaults","test_38; test_59; test_181","p2/p6 Hybrid formal records","2","parameterized Hybrid runner and visible qualification scope"
"benchmarks/run_task033_full3d_watchdog.py","M","reusable_benchmark","G5_runner_watchdog_checker","none; standard_full remains default","test_59; test_181","p6/h10 Full3D standard/static authority","2","formal Full3D launch and resource watchdog gates"
"benchmarks/run_task033_memory_watchdog.py","M","reusable_benchmark","G5_runner_watchdog_checker","none; opt-in options only","test_59; test_181","six Hybrid watchdog records and rank negatives","2","process-tree telemetry and Hybrid worker orchestration"
"benchmarks/task034_numerical_blob_checker.py","M","reusable_benchmark","G5_runner_watchdog_checker","none","test_73","source 244b62e1 numerical-blob identity","2","fail-closed numerical source identity and rerun policy"
"benchmarks/task034_workstation_resource_gates.py","M","reusable_benchmark","G5_runner_watchdog_checker","none","test_74; test_181","formal MPI8 resource qualification","2","shared workstation resource contract hardening"
"benchmarks/task035c_channel_resource_checker.py","A","reusable_benchmark","G5_runner_watchdog_checker","none","test_182; Case096 hermetic","independent 12-channel and resource recomputation","2","checker never trusts stored pass flags"
"benchmarks/task035c_p6_h10_gates.py","A","reusable_benchmark","G5_runner_watchdog_checker","none; p6 path is explicitly gated","test_181","source/preflight/reference hashes for six-path authority","2","fail-closed high-order launch qualification"
"src/test/test_180_task035b_hybrid_h1a_record.py","A","reusable_benchmark","G6_benchmark_tests","none","self","Case095 H1-A controlled negative","2","hermetic contract for predecessor Hybrid evidence"
"src/test/test_181_task035c_p6_h10_runner_gates.py","A","reusable_benchmark","G6_benchmark_tests","none","self","formal p6 launch identity and visible scope","2","ordinary-default and scoped-runner regression"
"src/test/test_182_task035c_channel_resource_checker.py","A","reusable_benchmark","G6_benchmark_tests","none","self","12/12+12/12 and resource gates","2","independent checker coverage"
"src/test/test_26_documentation_contract.py","M","reusable_benchmark","G6_benchmark_tests","none","self","not applicable","2","task and registry navigation contracts"
"src/test/test_59_task033_memory_watchdog_contract.py","M","reusable_benchmark","G6_benchmark_tests","none","self","watchdog telemetry and option propagation","2","runner/watchdog regression"
"src/test/test_73_task034_hardening.py","M","reusable_benchmark","G6_benchmark_tests","none","self","numerical blob identity","2","rerun decision remains fail closed"
"src/test/test_74_task034_workstation_resource_gate.py","M","reusable_benchmark","G6_benchmark_tests","none","self","resource authority semantics","2","workstation gate regression"
"src/test/test_case096_compact_evidence_contract.py","A","reusable_benchmark","G6_benchmark_tests","none","self","compact six-path/rank/PSS-USS independent recomputation","2","hermetic evidence contract without ignored artifacts"
"benchmarks/cases/095_high_order_local_hp_resource_envelope/records/hybrid_static_condensation_h1a_mpi8_v1.json","A","compact_evidence","G7_compact_evidence","none","test_180; JSON parse","Task035b H1-A controlled negative","3","preserve predecessor failure and dependency context"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/compact_authority_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic; generator --check","SHA-256 manifest for six compact records","3","bind tracked evidence identities"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/dependency_failures_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic; JSON parse","p6 constraint roundoff launcher failures","3","preserve controlled failures without promoting profiles"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/execution_ledger_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic; JSON parse","complete negative and not-run ledger","3","machine-readable task disposition"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/p2_h5_root_cause_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic","continuous baseline phase-only negative and repaired closure","3","root-cause authority"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/p6_h10_mpi8_pss_uss_ledger_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic; generator --check","original simultaneous per-rank smaps samples; no PDE rerun","3","qualified diagnostic PSS/USS backfill without RSS inference"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/p6_h10_mpi8_six_path_v1.json","A","compact_evidence","G7_compact_evidence","none","test_182; Case096 hermetic","source 244b62e1; six paths; 12/12+12/12","3","formal high-order numerical and RSS authority"
"benchmarks/cases/096_hybrid_channel_memory_closure/records/p6_h10_static_rank_study_v1.json","A","compact_evidence","G7_compact_evidence","none","Case096 hermetic","MPI1 numerical and MPI2 telemetry negatives","3","preserve rank-lane controlled negatives"
"benchmarks/cases/095_high_order_local_hp_resource_envelope/README.md","M","project_docs","G8_project_docs","none","documentation contract","Task035b H1-A record","4","index final predecessor Hybrid evidence"
"benchmarks/cases/095_high_order_local_hp_resource_envelope/test_command.txt","integration_fix","project_docs","G8_project_docs","none","Case095 focused command; full pytest","not applicable","4","M4 removed one do_not_merge historical test path that is absent from master"
"benchmarks/cases/README.md","M","project_docs","G8_project_docs","none","documentation contract","not applicable","4","register Case096"
"docs/README.md","M","project_docs","G8_project_docs","none","documentation contract","not applicable","4","register Task035c and Task035d entry points"
"docs/development_model_registry.md","M","project_docs","G8_project_docs","none","documentation contract","Task035c p2 and six-path compact authority","4","normalize model ledger including scope PSS/USS and negative lanes"
"docs/development_progress.md","M","project_docs","G8_project_docs","none","documentation contract","Task035c closeout","4","project status handoff"
"docs/task035b_high_order_local_hp_resource_envelope/README.md","M","project_docs","G8_project_docs","none","documentation contract","Task035b H1-A closeout","4","predecessor navigation"
"docs/task035b_high_order_local_hp_resource_envelope/outcomes/hybrid_static_condensation_h1.md","A","project_docs","G8_project_docs","none","documentation contract; test_180","Task035b H1-A controlled negative","4","preserve accepted predecessor analysis"
"docs/task035b_high_order_local_hp_resource_envelope/outcomes/summary.md","M","project_docs","G8_project_docs","none","documentation contract","Task035b closeout","4","final predecessor outcome normalization"
"docs/task035b_high_order_local_hp_resource_envelope/outcomes/test_summary.md","M","project_docs","G8_project_docs","none","documentation contract","local WSL tests","4","predecessor verification record"
"docs/task035b_high_order_local_hp_resource_envelope/response_v5.md","A","project_docs","G8_project_docs","none","documentation contract","Task035b final response","4","authorized handoff to Task035c"
"docs/task035b_high_order_local_hp_resource_envelope/review_report_v4.md","A","project_docs","G8_project_docs","none","documentation contract","Task035c governing review","4","preserve task authority"
"docs/task035c_hybrid_channel_memory_closure/README.md","A","project_docs","G8_project_docs","none","documentation contract","Task035c compact authority","4","user-facing conclusion and qualification scope"
"docs/task035c_hybrid_channel_memory_closure/outcomes/dependency_failures.md","A","project_docs","G8_project_docs","none","documentation contract","controlled failures","4","human-readable failure preservation"
"docs/task035c_hybrid_channel_memory_closure/outcomes/object_lifecycle_and_rank_study.md","A","project_docs","G8_project_docs","none","documentation contract","RSS stage and PSS/USS ledgers","4","resource anatomy and rank-lane boundaries"
"docs/task035c_hybrid_channel_memory_closure/outcomes/p2_h5_channel_root_cause.md","A","project_docs","G8_project_docs","none","documentation contract","p2 compact root-cause record","4","phase and traction diagnosis"
"docs/task035c_hybrid_channel_memory_closure/outcomes/p6_h10_channel_closure.md","A","project_docs","G8_project_docs","none","documentation contract","six-path compact authority","4","formal high-order physics and resource result"
"docs/task035c_hybrid_channel_memory_closure/outcomes/summary.md","A","project_docs","G8_project_docs","none","documentation contract","all Task035c compact records","4","table-first complete outcome"
"docs/task035c_hybrid_channel_memory_closure/outcomes/test_summary.md","A","project_docs","G8_project_docs","none","documentation contract","local WSL verification","4","test and PDE rerun disposition"
"docs/task035c_hybrid_channel_memory_closure/response_v1.md","A","project_docs","G8_project_docs","none","documentation contract","Task035c accepted closeout","4","central response with scope and resource caveats"
"docs/task035c_hybrid_channel_memory_closure/review_report_v1.md","A","project_docs","G8_project_docs","none","documentation contract","review acceptance","4","preserve review chain"
