gate,evidence,result,decision
complete_remote_source,runner_2998_lines_plus_independent_modules,pass,完整源码已提交
py_compile_and_help,clean_container,pass,基础可执行性通过
manual_fgmres_correctness,SciPy_PETSc_real_complex_MPI_tests,pass,保留research_only
vectorized_csr,h5_MPI1_and_MPI4_old_new_array_equivalence,pass,可合并基础设施
h2_clean_reproduction,residual_0.1789916662050465_from_zero_cache,pass,复现门槛通过
h5_opt_in_serial,residual_2.493e-10_and_RTA_regression_from_Task023,pass,可调用但不改默认
h5_mpi4_official_rta,not_rerun_in_Task024,not_covered,未补跑完整official_RTA
ams_hx_h2,specific_full_p2_hierarchy_peak_about_12.8GB,resource_boundary,不得推广到全部AMS_HX
gmg_transfer,h2_adjoint_error_4.68e-15,pass_primitive,不等于完整GMG成功
h2_m1_algorithm,20plus20_residual_0.17899_vs_Task022_0.16312,fail_algorithm_gate,仅低内存可扩展性证据
h2_m1_100,200_FE_steps_residual_0.15859_only_2.78_percent_better,fail_2x_gate,预算更大且收益不足
h1p5_m1,residual_0.14997_without_equal_budget_baseline,scalability_only,不是solver_breakthrough
production_like,residual_far_above_1e-6_and_no_official_RTA,fail,禁止设为默认
