candidate_id,lane,hypothesis,implementation,parameters,run_stage,actual_status,true_residual,residual_ratio_to_baseline,peak_rss_gb,rss_ratio_to_baseline,cost_s,root_cause,disposition
jacobi_ph,p_h_gmg,polynomial_smoother_plus_p1_coarse,damped_jacobi_plus_792D_Galerkin,shift0.2_steps4,h5_100,negative,0.6801547181194263,264.26735578186054,1.7086982727050781,0.8581366121684222,6.4512,p1 coarse misses target slow error,stop
layer_ph,patch_p_h,layer patches capture z error,one_mesh_layer_ILU0_plus_792D_Galerkin,pre_post,h5_100,negative,0.37486358702226213,145.64952103130483,1.9293975830078125,0.9689754662109606,3.5423,patch plus p1 coarse still misses wave error,stop
column_ph,anisotropic_patch,vertical columns capture grazing wave,vertical_column_ILU0_plus_792D_Galerkin,pre_post,h5_100,negative,0.5135989774111835,199.5537780991898,1.928680419921875,0.9686152950146942,3.7767,column locality insufficient,stop
cell_ph,small_patch,cell patches give low memory smoother,single_cell_ILU0_plus_792D_Galerkin,pre_post,h5_100,negative,0.5127299861423078,199.21614017842631,1.9816780090332031,0.99523156325794,4.6718,cell patches do not reduce global slow error,stop
slab_ph,p_h_plus_slab,physical slab plus p1 coarse combines scales,16_slab_ILU0_plus_792D_Galerkin,overlap0.25_pre_post,h5_100,negative,0.5610637887346428,217.99575879413666,2.0051918029785156,1.0070405805653155,4.0557,p1 coarse actively conflicts with useful wave coarse,stop
p_h_woodbury,all_mode_low_rank,80_mode Schur corrects port slow direction,slab_ph_plus_modal_Woodbury,80_modes,h5_20,negative_prototype,0.6577024571905297,,1.9841690063476562,,0.8118,small Schur condition good but FE response too weak,stop
nooverlap_no_post,low_memory_slab,remove overlap and post work,16_slab_ILU1_no_overlap_pre_only,restart100,h5_100,negative,0.0032913361029147663,1.278812860388063,1.8910903930664062,0.9497389879147841,6.2769,asymmetric one-sided smoothing loses robustness,stop
xharmonic225,wave_coarse,add x diffraction harmonics to coarse,225D_orders_minus1_0_plus1,nooverlap_ILU1,h5_100,neutral,0.0027963716932381637,1.0865031281095335,1.9675216674804688,0.9881220188883994,6.7253,larger coarse memory without enough residual gain,stop
task027_postsmooth,symmetric_smoothing,post-smoothing removes complementary error,ILU1_overlap_pre_post,sm2_restart100,h5_100,strong_positive,0.0012735032604417472,0.4948039231876364,1.9838027954101562,0.9962996719079771,13.2330,symmetric composition fixes residual mechanism,continue
ilu0_postsmooth,lower_fill,ILU0 may keep symmetric convergence with less memory,ILU0_overlap_pre_post,sm2_restart100,h5_100,weak_positive,0.0018655660622674713,0.7248456033986697,1.89031982421875,0.9493519652738445,9.3508,fill level not essential after symmetric smoothing,continue
compact_factor_only,storage_lifecycle,discard local source matrices and KSP wrappers after factorization,ILU0_local_shift_factor_only_pre_post,restart100,h5_100,weak_positive,0.001865566062266882,0.7248456033984408,1.7052116394042969,0.8563825225069519,9.0534,identical factor action with lower retained storage,continue
compact_restart90,krylov_memory,smaller restart saves basis memory without losing gate,ILU0_local_shift_factor_only_pre_post,restart90,h5_100,weak_positive,0.0019929448285525087,0.7743342625813795,1.6935043334960938,0.8505049546223878,8.9819,restart90 is last passing compact point,promote_full
compact_restart80,krylov_memory,further reduce basis,ILU0_local_shift_factor_only_pre_post,restart80,h5_100,rejected,0.002291812325151529,0.8904624458192545,1.6788177490234375,0.8431260516060108,9.0061,residual misses weak_positive gate,stop
