path,status,merge_action,dependency_group,targeted_tests,numerical_behavior_changes,fresh_pde_evidence,recommended_merge_order,rationale
AGENTS.md,M,merge_with_group,same_task_branch_governance,test_24_repository_work_principles;test_26_documentation_contract,no,not applicable,5,user-authorized governance protection; all protected copies must merge atomically
README.md,M,merge_with_group,same_task_branch_governance,test_24_repository_work_principles;test_26_documentation_contract,no,not applicable,5,user-authorized governance protection; all protected copies must merge atomically
docs/README.md,M,merge_with_group,same_task_branch_governance,test_24_repository_work_principles;test_26_documentation_contract,no,not applicable,5,user-authorized governance protection; all protected copies must merge atomically
docs/repository_work_principles.md,M,merge_with_group,same_task_branch_governance,test_24_repository_work_principles;test_26_documentation_contract,no,not applicable,5,user-authorized governance protection; all protected copies must merge atomically
src/test/test_24_repository_work_principles.py,M,merge_with_group,same_task_branch_governance,test_24_repository_work_principles,no,not applicable,5,protect same-task-branch workflow in canonical and README copies
.gitattributes,M,merge_with_group,numerical_blob_portability,test_73,no,not applicable,10,portable numerical-blob attributes
src/common/config_3d.py,M,merge_with_group,configuration_hardening,test_73;test_79,yes,accepted S mainline Case093 and P capability sample,10,shared polarization and configuration validation
src/common/distributed_matrix_diagnostics.py,A,merge_with_group,distributed_diagnostics,test_39;test_68;test_73,yes,accepted Full3D/Hybrid MPI1/8/16/32 representative evidence,10,shared sparse/distributed matrix diagnostics
benchmarks/cases/010_3d_stage1_airbox/records/canonical_reference.json,M,merge_with_portability_group,historical_json_portability_hash_refresh,test_73 numerical-blob portability; canonical record hash check,no; canonical semantic payload unchanged,not applicable; only checkout-normalized artifact SHA changed,15,canonical_record path and semantic fields unchanged; sha256 refreshed for portable checkout bytes and must merge with .gitattributes
benchmarks/cases/021_3d_stage4b_direct/records/h2_reviewed_reference.json,M,merge_with_portability_group,historical_json_portability_hash_refresh,test_73 numerical-blob portability; canonical record hash check,no; canonical semantic payload unchanged,not applicable; only checkout-normalized artifact SHA changed,15,canonical_record path and semantic fields unchanged; sha256 refreshed for portable checkout bytes and must merge with .gitattributes
