path,category,decision,status,ordinary_default_effect,qualification,evidence,notes
README.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_summary,reduced_scope_and_transfer
docs/README.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_index,reduced_scope_and_transfer
docs/capability_matrix.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_capabilities,fixed_p_clear_success
docs/development_progress.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_progress,reduced_scope_complete
docs/project_service_requirements_and_forward_model_roadmap.md,project_documentation,include,review_v6_current,unchanged,documentation_only,adaptive_transfer,next_independent_task
docs/quick_start.md,project_documentation,include,review_v6_current,unchanged,documentation_only,reduced_checker,no_adaptive_master_entry
notes/quick_start/README.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_index,reduced_checker
notes/quick_start/60_task033_high_order_hybrid_hp.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_commands,history_and_transfer_labelled
notes/reference/code_walkthrough.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_index,f0_completion
notes/reference/code_walkthrough/52_task033_high_order_floquet_hp.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_walkthrough,reduced_scope_boundary
notes/theory/README.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_theory_index,adaptive_not_master_capability
notes/theory/high_order_hcurl_floquet_and_hp_adaptivity.md,project_documentation,include,review_v6_current,unchanged,documentation_only,task33_theory,fixed_p_and_transfer
benchmarks/cases/README.md,case_index,include,review_v6_current,unchanged,documentation_only,case091,reduced_scope_complete
docs/task033_high_order_floquet_hybrid_hp_adaptivity/task.md,task033_history,include,immutable_original,unchanged,historical_authority,original_task,full_scope_preserved
docs/task033_high_order_floquet_hybrid_hp_adaptivity/README.md,task033_documentation,include,review_v6_current,unchanged,documentation_only,task33_index,reduced_scope_complete
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v1.md,task033_history,include,immutable_review,unchanged,historical_authority,review_v1,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v2.md,task033_history,include,immutable_review,unchanged,historical_authority,review_v2,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v3.md,task033_history,include,immutable_review,unchanged,historical_authority,review_v3,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v4.md,task033_history,include,immutable_review,unchanged,historical_authority,review_v4,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v5.md,task033_history,include,immutable_review,unchanged,historical_authority,review_v5,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/review_report_v6.md,task033_history,include,final_review_authority,unchanged,merge_authority,review_v6,reduced_scope_acceptance
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v1.md,task033_history,include,immutable_response,unchanged,historical_response,response_v1,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v2.md,task033_history,include,immutable_response,unchanged,historical_response,response_v2,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v3.md,task033_history,include,immutable_response,unchanged,historical_response,response_v3,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v4.md,task033_history,include,immutable_response,unchanged,historical_response,response_v4,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v5.md,task033_history,include,immutable_response,unchanged,historical_response,response_v5,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v6.md,task033_history,include,immutable_response,unchanged,historical_response,response_v6,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/response_v7.md,task033_documentation,include,review_v6_response,unchanged,merge_response,review_v6,f0_and_selective_merge
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/adaptive_compression.csv,task033_documentation,include,transfer_record,unchanged,not_run,review_v6,adaptive_transferred
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/changed_files.md,task033_documentation,include,review_v6_current,unchanged,documentation_only,f0_inventory,exact_merge
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/environment_and_base.md,task033_documentation,include,reviewed_history,unchanged,documentation_only,environment,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/high_order_assumption_audit.md,task033_documentation,include,reviewed_history,unchanged,documentation_only,assumptions,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/high_order_floquet_results.md,task033_documentation,include,accepted_result,unchanged,qualified_case090,stage1_summary,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/hybrid_vs_full3d_summary.md,task033_documentation,include,review_v6_current,unchanged,qualified_with_limits,d1_summary,fixed_p_clear_success
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/interface_buffer_tradeoff.csv,task033_documentation,include,deferred_plan,unchanged,not_run,review_v6,waits_for_defect_geometry
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/matched_trace_phaseB.md,task033_documentation,include,accepted_result,unchanged,qualified_component,phaseB_summary,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/memory_prediction_and_launch_decisions.md,task033_documentation,include,review_v6_current,unchanged,qualified_with_limits,resource_matrix,prediction_bias_frozen
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/negative_results.md,task033_documentation,include,review_v6_current,unchanged,negative_evidence,review_v6,p4_and_p3h10
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/p3_h5_phaseC.md,task033_documentation,include,historical_phase,unchanged,superseded_with_trace,phaseC_summary,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/p3_h5_phaseC1_full3d_assembly.md,task033_documentation,include,accepted_result,unchanged,qualified_with_limits,full3d_closure,p3h5_closure
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/qep_order_study.md,task033_documentation,include,accepted_result,unchanged,qualified_component,qep_summary,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/qep_tracking_diagnostic.md,task033_documentation,include,accepted_result,unchanged,qualified_component,qep_tracking,retained
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/reduced_equal_accuracy_phaseD.md,task033_documentation,include,review_v6_current,unchanged,qualified_with_limits,reduced_equal_accuracy,fixed_p_clear_success
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/selective_merge_manifest.csv,merge_control,include,review_v6_exact,unchanged,file_level_allowlist,review_v6,no_globs
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/summary.md,task033_documentation,include,review_v6_current,unchanged,task_summary,completion_record,reduced_scope_complete
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/task33_completion_matrix.md,task033_documentation,include,review_v6_current,unchanged,completion_audit,review_v6,all_documents_and_questions
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/test_summary.md,merge_control,include,f0_validation,unchanged,test_evidence,f0_tests,hash_bound
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/uniform_p_h_matrix.csv,task033_documentation,include,review_v6_current,unchanged,result_matrix,d1_summary,fixed_p_status
docs/task033_high_order_floquet_hybrid_hp_adaptivity/outcomes/variable_p_hp_capability.md,task033_documentation,include,review_v6_current,unchanged,fail_closed,d2_audit,no_native_variable_p
benchmarks/cases/090_high_order_3d_floquet_hcurl/PDE_CORE_RUNNER.md,case090_contract,include,accepted_stage1,unchanged,qualified_with_limits,stage1_summary,runner_contract
benchmarks/cases/090_high_order_3d_floquet_hcurl/README.md,case090_contract,include,accepted_stage1,unchanged,qualified_with_limits,stage1_summary,case_contract
benchmarks/cases/090_high_order_3d_floquet_hcurl/expected.json,case090_contract,include,accepted_stage1,unchanged,test_backed,case090_tests,expected
benchmarks/cases/090_high_order_3d_floquet_hcurl/fixture.json,case090_contract,include,accepted_stage1,unchanged,test_backed,case090_tests,fixture
benchmarks/cases/090_high_order_3d_floquet_hcurl/pde_core_schema.json,case090_contract,include,accepted_stage1,unchanged,test_backed,case090_tests,schema
benchmarks/cases/090_high_order_3d_floquet_hcurl/records/analytic_oracles.json,case090_evidence,include,planner_not_run,unchanged,analytic_oracle,case090_tests,not_pde_record
benchmarks/cases/090_high_order_3d_floquet_hcurl/records/pde_core_NOT_RUN.json,case090_history,include,planner_not_run,unchanged,historical_identity,case090_stage_summary,external_aggregate_is_authority
benchmarks/cases/090_high_order_3d_floquet_hcurl/schema.json,case090_contract,include,accepted_stage1,unchanged,test_backed,case090_tests,schema
benchmarks/cases/090_high_order_3d_floquet_hcurl/test_command.txt,case090_contract,include,accepted_stage1,unchanged,test_backed,case090_tests,command
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/README.md,case091_contract,include,review_v6_current,unchanged,reduced_scope_complete,completion_record,case_contract
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/config.json,case091_contract,include,historical_input,unchanged,planning_only,case091,retained
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/equal_accuracy_schema.json,case091_contract,include,reviewed_schema,unchanged,test_backed,d1_tests,schema
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/expected.json,case091_contract,include,historical_input,unchanged,planning_only,case091,retained
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/hybrid_funnel_schema.json,case091_contract,include,reviewed_schema,unchanged,test_backed,phaseC_tests,schema
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/qep_measurement_schema.json,case091_contract,include,reviewed_schema,unchanged,test_backed,qep_tests,schema
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/variable_p_capability_schema.json,case091_contract,include,reviewed_schema,unchanged,test_backed,d2_tests,schema
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/formal_evidence_manifest_NOT_RUN.json,case091_history,include,original_full_scope_not_run,unchanged,historical_identity,completion_record,never_upgrade
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/one_tib_projection_plan.json,case091_history,include,not_qualified,unchanged,historical_negative,completion_record,no_feasibility_claim
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage1_high_order/stage_summary.json,case091_evidence,include,accepted_stage1,unchanged,hash_bound,case090_aggregate,144_pde_summary
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage2_matched_trace/p4_four_mode_summary.json,case091_evidence,include,accepted_phaseB,unchanged,hash_bound,phaseB_tests,four_mode_block
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage2_matched_trace/phaseB_summary.json,case091_evidence,include,accepted_phaseB,unchanged,hash_bound,phaseB_tests,p3p4_trace
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage3_p3_h5/full3d_closure_summary.json,case091_evidence,include,accepted_p3h5_closure,unchanged,hash_bound,phaseC_tests,same_degree_closure
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage3_p3_h5/full3d_reference.json,case091_evidence,include,accepted_p3h5_reference,unchanged,descriptor,full3d_npz,hash_bound
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage3_p3_h5/phaseC1_full3d_assembly_summary.json,case091_evidence,include,accepted_p3h5_assembly,unchanged,hash_bound,phaseC_tests,assembly_record
benchmarks/cases/091_hybrid_hp_adaptivity_feasibility/records/stage3_p3_h5/phaseC_summary.json,case091_evidence,include,historical_phaseC,unchanged,hash_bound,phaseC_tests,superseded_by_closure
