source_task,source_branch,source_path,destination_path,action,category,ordinary_default_changed,scalability_identity,required_tests,reason,status
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/modes/cross_section_spaces.py,src/modes/cross_section_spaces.py,merge_as_is,validated_infrastructure,false,experimental_generic_2d,Task032 QEP serial MPI2 MPI4,cross section mixed-space contract,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/constraints/cross_section_floquet.py,src/constraints/cross_section_floquet.py,merge_as_is,validated_infrastructure,false,experimental_generic_2d,Task032 QEP serial MPI2 MPI4,distributed orientation aware reduction,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/modes/quadratic_beta_eigenproblem.py,src/modes/quadratic_beta_eigenproblem.py,merge_with_warning,experimental_infrastructure,false,current_scale_mumps_shift_invert,Task032 QEP plus docstring contract,generic QEP validated but all mode direct PEP is not target scalable,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/modes/mode_classification.py,src/modes/mode_classification.py,merge_with_warning,experimental_infrastructure,false,current_scale_explicit_modes,mode classification serial MPI,adjoint QEP biorthogonality and tracking retained,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/modes/stable_propagation.py,src/modes/stable_propagation.py,merge_as_is,validated_infrastructure,false,linear_mode_storage,stable propagation serial MPI,passivity composition and no growing inverse,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/coupling/modal_trace_projection.py,src/coupling/modal_trace_projection.py,merge_as_is,validated_interface_infrastructure,false,current_scale_matched_trace,trace projection serial MPI,matched trace and Petrov projection,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/coupling/hybrid_internal_modes.py,src/coupling/hybrid_internal_modes.py,merge_with_warning,experimental_hybrid_infrastructure,false,current_scale_replicated_dense_modal_arrays,internal modes serial MPI,retain reference while forbidding target production promotion,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/geometry/hybrid_local_mesh.py,src/geometry/hybrid_local_mesh.py,merge_as_is,experimental_hybrid_infrastructure,false,exact_complex_3d_end_required,local mesh serial MPI,future complex ends require this capability,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/solvers/hybrid_local_dtn.py,src/solvers/hybrid_local_dtn.py,merge_as_is,experimental_hybrid_infrastructure,false,current_scale_direct_reference,local DtN serial MPI,one sided exact local FEM and external port,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/solvers/hybrid_fem_modal_augmented_direct.py,src/solvers/hybrid_fem_modal_augmented_direct.py,merge_with_warning,direct_reference,false,not_0p7_production,augmented algebra serial MPI plus Case080,13.5 nm reference only and last rank modal ownership remains,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/solvers/hybrid_fem_modal_schur_direct.py,src/solvers/hybrid_fem_modal_schur_direct.py,merge_with_warning,direct_reference,false,not_0p7_production,Schur equivalence and six memory records,current scale reference with all mode multi RHS and local LU,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/postprocessing/full3d_reference.py,src/postprocessing/full3d_reference.py,merge_as_is,validation_infrastructure,false,reference_export_only,full3D exporter contract,frozen comparison evidence,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/postprocessing/hybrid_field_reconstruction.py,src/postprocessing/hybrid_field_reconstruction.py,merge_as_is,validation_infrastructure,false,current_scale_reconstruction,field reconstruction serial MPI,E H absorption and selected plane validation,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/run_task032_*.py,benchmarks/run_task032_*.py,merge_with_warning,benchmark_runner,false,explicit_opt_in,compile focused tests Case080,reproducible research and projection entrypoints,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/task032_final_gates.py,benchmarks/task032_final_gates.py,merge_as_is,benchmark_gate,false,lightweight_only,Case080 checker 302 of 302,canonical evidence validation,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/check_benchmarks.py|benchmarks/records/benchmark_gate_report.json,benchmarks/check_benchmarks.py|benchmarks/records/benchmark_gate_report.json,merge_as_is,benchmark_gate_and_report,false,lightweight_only,Case080 checker 302 of 302,checker routing and canonical generated summary,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/README.md|benchmarks/cases/README.md,benchmarks/README.md|benchmarks/cases/README.md,merge_as_is,benchmark_index,false,scope_explicit,documentation contract,Case080 final status and projection identity,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/cases/080_hybrid_fem_modal_direct_baseline/**,benchmarks/cases/080_hybrid_fem_modal_direct_baseline/**,merge_lightweight_only,benchmark_evidence,false,13p5_only,Case080 checker 302 of 302,configs gates light JSON and launch scripts only,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/test/test_31_full3d_reference_export.py|src/test/test_32_task032_*.py|src/test/test_33_task032_*.py|src/test/test_34_task032_*.py|src/test/test_35_task032_*.py|src/test/test_36_task032_*.py|src/test/test_37_task032_*.py|src/test/test_38_task032_*.py|src/test/test_39_task032_*.py|src/test/test_40_task032_*.py|src/test/test_41_task032_*.py,src/test/Task032-focused-files,merge_as_is,tests,false,contract_only,serial MPI2 MPI4,physics algebra resource and projection contracts,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/test/test_24_repository_work_principles.py|src/test/test_26_documentation_contract.py|src/test/test_27_main_preset_contract.py,src/test/test_24_repository_work_principles.py|src/test/test_26_documentation_contract.py|src/test/test_27_main_preset_contract.py,merge_as_is,governance_and_entry_tests,false,contract_only,local documentation and preset contracts,table first rule artifact parsing and Task032 entry protection,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/common/config_3d.py|src/geometry/mesh_builder_3d.py|src/main.py|src/runners/run_3d_cases.py,src/common/config_3d.py|src/geometry/mesh_builder_3d.py|src/main.py|src/runners/run_3d_cases.py,merge_as_is,ordinary_entry_glue,false,ordinary_default_unchanged,preset contracts plus old new smoke,explicit opt in Task032 configuration and fitted mesh glue,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,src/postprocessing/postprocess_3d.py|src/coupling/__init__.py|src/modes/__init__.py,src/postprocessing/postprocess_3d.py|src/coupling/__init__.py|src/modes/__init__.py,merge_as_is,public_exports_and_postprocessing_glue,false,scope_explicit,focused serial MPI tests,public Task032 symbols and reference exporter plumbing,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,benchmarks/run_direct_memory_forensics.py,benchmarks/run_direct_memory_forensics.py,merge_as_is,shared_benchmark_telemetry,false,not_solver_api,existing telemetry tests,Task032 reuses external simultaneous sampler plumbing,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,docs/task032_hybrid_fem_modal_direct_baseline/**,docs/task032_hybrid_fem_modal_direct_baseline/**,merge_as_is,evidence_and_review,false,scope_explicit,documentation contract,preserve task review response outcomes and decisions,provisional
Task032,codex/20260714-task32-hybrid-fem-modal-direct-baseline,notes/theory/hybrid_fem_modal_domain_decomposition.md,notes/theory/hybrid_fem_modal_domain_decomposition.md,merge_as_is,theory,false,generic_hybrid,documentation contract,retained target architecture,provisional
